CAT_MED;CAT_SERV;QUANT;
AC_ABRI_0001_2;AC_SABR_0001_W;1.000;
AC_ABRI_0002_2;AC_SABR_0002_W;1.000;
AC_AVER_0001_2;AC_SAVE_0001_W;1.000;
AC_AVER_0002_2;AC_SAVE_0002_W;1.000;
AC_AVER_0003_2;AC_SAVE_0003_W;1.000;
AC_AVER_0004_2;AC_SAVE_0006_W;1.000;
AC_AVSG_0001_2;AC_SAVE_0005_W;1.000;
AC_BLOQ_0001_2;AC_SBLO_0001_W;1.000;
AC_BLOQ_0001_2;AC_SBLO_0005_W;1.000;
AC_BLOQ_0002_2;AC_SBLO_0010_W;1.000;
AC_COLE_0001_2;AC_SCLE_0002_W;1.000;
AC_COLE_0002_2;AC_SCLE_0003_W;1.000;
AC_COLE_0003_2;AC_SCLE_0004_W;1.000;
AC_COLE_0004_2;AC_SCLE_0005_W;1.000;
AC_COLE_0005_2;AC_SCLE_0006_W;1.000;
AC_COLE_0006_2;AC_SINS_0030_W;1.000;
AC_COLO_0001_2;AC_MEST_0001_W;1.000;
AC_COLO_0001_2;AC_MREG_0053_W;1.000;
AC_COLO_0001_2;AC_SCOL_0001_W;1.000;
AC_COLO_0002_2;AC_SCLE_0001_W;1.000;
AC_COLO_0003_2;AC_MTFL_0004_W;1.000;
AC_COLO_0003_2;AC_SCOL_0002_W;1.000;
AC_COLO_0003_2;AC_SCOL_0004_W;1.000;
AC_COLO_0003_2;AC_SCOL_0005_W;1.000;
AC_COLO_0004_2;AC_SCOL_0006_W;1.000;
AC_COLO_0005_2;AC_SCOL_0010_W;1.000;
AC_COLO_0007_2;AC_SCOL_0011_W;1.000;
AC_CONV_0001_2;AC_SCON_0015_W;1.000;
AC_CONV_0003_2;AC_SCON_0018_W;1.000;
AC_CONV_0004_2;AC_SCON_0019_W;1.000;
AC_CONV_0006_2;AC_SCON_0020_W;1.000;
AC_CONV_0007_2;AC_SCON_0021_W;1.000;
AC_CONV_0008_2;AC_SCON_0022_W;1.000;
AC_CONV_0009_2;AC_SCON_0023_W;1.000;
AC_CONV_0010_2;AC_SCON_0024_W;1.000;
AC_CONV_0011_2;AC_SCON_0025_W;1.000;
AC_CONV_0012_2;AC_SCON_0026_W;1.000;
AC_CONV_0013_2;AC_SCON_0027_W;1.000;
AC_CONV_0014_2;AC_SCON_0028_W;1.000;
AC_CONV_0015_2;AC_SCON_0029_W;1.000;
AC_CONV_0016_2;AC_SCON_0030_W;1.000;
AC_CONV_0017_2;AC_SCON_0031_W;1.000;
AC_CONV_0018_2;AC_SCON_0032_W;1.000;
AC_EXVT_0001_2;AC_SAVE_0008_W;1.000;
AC_FECH_0001_2;AC_SBLO_0004_W;1.000;
AC_INST_0003_2;AC_SINS_0040_W;1.000;
AC_INST_0005_2;AC_SINS_0041_W;1.000;
AC_INST_0005_2;AC_SREP_0024_W;1.000;
AC_INST_0007_2;AC_SINS_0018_W;1.000;
AC_INST_0008_2;AC_SINS_0019_W;1.000;
AC_INST_0014_2;AC_SREP_0063_W;1.000;
AC_INST_0015_2;AC_SREP_0064_W;1.000;
AC_LIGA_0001_2;AC_MCOT_0013_W;1.000;
AC_LIGA_0001_2;AC_MNIP_0027_W;1.000;
AC_LIGA_0001_2;AC_MTFL_0004_W;1.000;
AC_LIGA_0001_2;AC_MVAL_0027_W;1.000;
AC_LIGA_0001_2;AC_SLIG_0001_W;1.000;
AC_LIGA_0002_2;AC_MCOT_0013_W;1.000;
AC_LIGA_0002_2;AC_MNIP_0027_W;1.000;
AC_LIGA_0002_2;AC_MTFL_0004_W;1.000;
AC_LIGA_0002_2;AC_MVAL_0027_W;1.000;
AC_LIGA_0002_2;AC_SLIG_0002_W;1.000;
AC_LIGA_0003_2;AC_SLIG_0003_W;1.000;
AC_LIGA_0004_2;AC_MCOT_0013_W;1.000;
AC_LIGA_0004_2;AC_MNIP_0027_W;1.000;
