CODE;PROBJ;DESCR;
PROBJ_01;01;AQUECEDOR ACUMULAÇÃO;
PROBJ_02;02;AQUECEDOR DE TIRAGEM NATURAL;
PROBJ_03;03;CHAPEIRA;
PROBJ_04;04;FOGÃO;
PROBJ_05;05;FORNO INDIVIDUAL;
PROBJ_06;06;INSTALAÇÃO INTERNA;
PROBJ_07;07;MEDIDOR;
PROBJ_08;08;NEGATIVO;
PROBJ_09;09;REDE;
PROBJ_10;10;REGULADOR CR;
PROBJ_11;11;SECADORA;
PROBJ_13;13;ESTABILIZADOR;
PROBJ_14;14;REGULADOR CRC;
PROBJ_15;15;RAMAL EXTERNO;
PROBJ_16;16;RAMAL INTERNO;
PROBJ_17;17;QUADRO DE MEDIDOR;
PROBJ_18;18;AQUECEDOR DE EXAUSTÃO FORÇADA;
PROBJ_19;19;AQUECEDOR DE FLUXO BALANÇEADO;
PROBJ_20;20;PRUMADA;
