CODE;SINTM;DESCR;
SINTM_01;01;CONEXÃO;
SINTM_02;02;FLEXIVEL DO APARELHO;
SINTM_03;03;INJETOR;
SINTM_04;04;LIGAÇÃO A;
SINTM_05;05;LIGAÇÃO B;
SINTM_06;06;PILOTO;
SINTM_07;07;REGISTRO;
SINTM_08;08;TÊ DE INSPEÇÃO;
SINTM_09;09;TORNEIRA DE CONTROLE;
SINTM_10;10;VGB;
SINTM_12;12;SHUTT-OFF;
SINTM_13;13;ESTABILIZADOR;
SINTM_14;14;BUCHA ADAPTADORA;
SINTM_15;15;REDE;
SINTM_16;16;CORPO DO EQUIPAMENTO;
SINTM_17;17;NEGATIVO;
SINTM_18;18;FLEXIVEL DO MEDIDOR;
SINTM_19;19;VALVULA DE ALIVIO;
SINTM_20;20;RAMAL EXTERNO;
SINTM_21;21;RAMAL INTERNO;
SINTM_22;22;PRUMADA;
