Perfil do catálogo;Catálogo;Grupo Code
PM-CIVIL;A;MC-*
PM-CIVIL;A;PM-DESL
PM-CIVIL;A;PM-DESLO
PM-CIVIL;A;PM-DESV
PM-CIVIL;A;PM-DESVI
PM-CIVIL;A;PM-EXE
PM-CIVIL;A;PM-EXEC
PM-CIVIL;A;PM-RF
PM-CIVIL;A;PM-VIAT
PM-CIVIL;A;PM-VIATR
PM-CIVIL;B;MC-*
PM-CIVIL;C;MC-*
PM-CIVIL;D;MC-*
PM-GERAL;2;PM*
PM-GERAL;5;PM*
PM-GERAL;A;PM*
PM-GERAL;B;PM*
PM-GERAL;C;PM*
PM-GERAL;D;PM*
PM_EMC_03;A;ER*
PM_EMC_03;D;PM-REPAR
PM_PRE_02;2;01-VAZAO
PM_PRE_02;2;02-LEIT
PM_PRE_02;2;03-PRESS
PM_PRE_02;2;CIVIL-32
PM_PRE_02;5;EST.CRM
PM_PRE_02;A;04-USUAR
PM_PRE_02;A;14-PESSL
PM_PRE_02;A;CHAMADO
PM_PRE_02;A;CONSERVA
PM_PRE_02;A;CORR.DEF
PM_PRE_02;A;CORR.OPE
PM_PRE_02;A;DFENCONT
PM_PRE_02;A;EQUIP.OP
PM_PRE_02;A;EQUIPAME
PM_PRE_02;A;FOTO
PM_PRE_02;A;INDCSPE
PM_PRE_02;A;LOCAL
PM_PRE_02;A;MEDIDOR
PM_PRE_02;A;SERV.EST
PM_PRE_02;A;SERV.IND
PM_PRE_02;A;SERV.RED
PM_PRE_02;A;TIPO-USO
PM_PRE_02;A;TURNO
PM_PRE_02;A;VIATURA
PM_PRE_02;B;EST.CRM
PM_PRE_02;C;CONFORM
PM_PRE_02;C;DATALOGG
PM_PRE_02;C;FILTRO
PM_PRE_02;C;GRAFICO
PM_PRE_02;C;INSTALAC
PM_PRE_02;C;MEDIDOR
PM_PRE_02;C;PILOTO
PM_PRE_02;C;PREPILOT
PM_PRE_02;C;REGULADO
PM_PRE_02;C;SHUTOFF
PM_PRE_02;C;VALIVIO
PM_PRE_02;C;VALVULA
PM_PRE_02;D;01-NOTA
PM_BOL_02;A;08-BITOL
PM_BOL_02;A;14-PESSL
PM_BOL_02;A;PONR
PM_BOL_02;A;PONR/POR
PM_BOL_02;A;POR
PM_BOL_02;A;PRESSAO
PM_BOL_02;A;TIPO.TRA
PM_BOL_02;B;POR.TIPO
PM_BOL_02;D;TIPO
